ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"103.79.96.193","elite","AS64308","ID","PT IndoDev Niaga Internet","187","PT IndoDev Niaga Internet","4153","socks4","831","1","2023-01-26T11:08:18.253Z","100","897","898"
"174.108.154.2","elite","AS11426","US","Spectrum","105","Fastlink Communications","32940","socks4","335","1","2023-01-26T11:08:18.829Z","100","902","905"
"79.127.35.243","elite","AS43754","IR","Asiatech Data Transmission company","160","Azad University","5678","socks5","1043","1","2023-01-26T11:08:18.858Z","96","798","831"
"103.76.172.230","elite","AS9341","ID","ICONPLN","281","N/A","4153","socks4","533","1","2023-01-26T11:08:18.827Z","94","855","914"
"103.231.200.250","elite","AS133352","ID","PT. Berdikari Prima Mandiri","297","N/A","5678","socks4","505","1","2023-01-26T11:08:18.827Z","83","718","863"
"181.78.94.175","anonymous","AS52468","PY","Ufinet Paraguay S.A","244","IFX Networks Argentina S.R.L","999","http","851","5047","2023-01-26T11:08:18.578Z","99","848","854"
"173.195.27.135","elite","AS11976","US","Fidelity Communication International Inc.","115","Fidelity Communication International Inc.","10091","socks4","876","1","2023-01-26T11:08:18.573Z","100","898","898"
"123.171.42.218","elite","AS4134","CN","Chinanet","266","Chinanet SD","2829","socks4","353","1","2023-01-26T11:08:18.593Z","83","663","800"
"103.215.148.17","elite","AS135207","IN","Cloudnet Communications Pvt Ltd","193","Cloudnet Communications Pvt Ltd","43928","socks4","883","1","2023-01-26T11:08:18.252Z","98","889","904"
"189.124.138.137","elite","AS28220","BR","Cabo Servicos De Telecomunicacoes Ltda","193","Update Ltda","5678","socks4","758","1","2023-01-26T11:08:18.260Z","99","808","818"
"35.230.154.184","elite","AS396982","GB","Google LLC","9","Google Cloud (europe-west2)","3128","socks4","786","1","2023-01-26T11:08:18.826Z","25","215","863"
"180.122.144.254","elite","AS4134","CN","Chinanet","227","Chinanet JS","1080","socks4","863","1","2023-01-26T11:08:18.595Z","72","573","796"
"121.66.105.19","elite","AS3786","KR","LG DACOM Corporation","323","LG Uplus","51080","socks4","318","1","2023-01-26T11:08:18.829Z","100","808","809"
"116.162.157.253","elite","AS4837","CN","China Unicom CHINA169 Network","182","N/A","4145","socks4","859","1","2023-01-26T11:08:18.574Z","99","909","916"
"95.167.29.50","anonymous","AS12389","RU","PJSC Rostelecom","147","Info Servis","8080","http","1053","1080","2023-01-26T11:08:18.575Z","100","800","800"
"177.126.95.225","elite","AS262352","BR","Nova Telecom Ltda","254","Nova Telecom Ltda","4145","socks4","853","1","2023-01-26T11:08:18.576Z","98","890","912"
"170.80.91.10","elite","AS264820","CR","Corebases S.A","155","Corebases S.A","4145","socks4","397","1","2023-01-26T11:08:18.827Z","100","914","914"
"128.199.125.165","elite","AS14061","SG","DigitalOcean, LLC","179","DigitalOcean, LLC","10260","socks5","964","1","2023-01-26T11:08:18.858Z","100","870","872"
"66.33.210.54","elite","AS26347","US","New Dream Network, LLC","79","New Dream Network, LLC","17567","socks5","873","1","2023-01-26T11:08:18.253Z","100","898","898"
"103.82.8.189","elite","AS136156","BD","FNF Online","179","N/A","4153","socks4","843","1","2023-01-26T11:08:18.575Z","84","765","912"
"95.137.240.30","elite","AS34797","GE","EGRISI","142","Systemnet LTD","48761","socks4","865","1","2023-01-26T11:08:18.259Z","34","310","905"
"200.115.157.210","elite","AS21599","PA","Cable Onda","141","Cable Onda","4145","socks4","810","1","2023-01-26T11:08:18.577Z","100","895","897"
"206.192.226.90","elite","AS25899","US","LS Networks","166","LS Networks","39593","socks4","213","1","2023-01-26T11:08:17.108Z","100","910","911"
"186.192.195.211","elite","AS53133","BR","P & K Networks e Telecomunicações Ltda","193","P & K Networks e Telecomunicações Ltda","8080","socks4","513","1","2023-01-26T11:08:17.105Z","100","893","897"
"103.247.13.179","elite","AS131706","ID","TERABIT","183","N/A","1080","socks4","347","1","2023-01-26T11:08:17.107Z","65","559","861"
"157.230.210.133","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","80","socks4","947","1","2023-01-26T11:08:17.636Z","100","822","822"
"51.15.242.202","elite","AS12876","FR","SCALEWAY","4","ONLINE","8888","http","795","237","2023-01-26T11:08:17.230Z","97","890","915"
"116.199.172.1","elite","AS45661","IN","Capture Network Systems Pvt. Ltd.","140","Capture Network Systems Pvt. Ltd.","4145","socks4","358","1","2023-01-26T11:08:17.228Z","99","876","884"
"87.121.77.130","elite","AS60784","BG","Neterra Ltd.","48","N/A","4145","socks4","1011","1","2023-01-26T11:08:17.224Z","100","913","914"
"103.254.185.195","anonymous","AS17501","NP","WorldLink Communications","176","Enterprise Customers 1ST","53281","http","1100","1080","2023-01-26T11:08:17.096Z","96","771","799"
"188.133.160.22","elite","AS12772","RU","Enforta-NCL","95","N/A","4145","socks4","1037","1","2023-01-26T11:08:17.223Z","98","868","885"
"182.93.80.26","elite","AS4007","NP","SUBISU D2","186","N/A","5678","socks4","368","1","2023-01-26T11:08:17.106Z","99","909","915"
